Date,Open,High,Low,Close,Adj Close,Volume
2023-10-04,27416.0,27825.5,27186.5,27767.0,27767.0,298001800
2023-10-05,27767.0,28110.5,27347.0,27400.0,27400.0,319321200
2023-10-06,27400.0,28313.0,26896.5,27937.0,27937.0,449856700
2023-10-07,27937.0,28025.5,27847.0,27957.5,27957.5,124023600
2023-10-08,27957.5,28096.5,27683.0,27920.5,27920.5,222114200
2023-10-09,27920.5,27992.5,27250.0,27585.0,27585.0,365591600
2023-10-10,27585.0,27730.0,27282.5,27375.0,27375.0,225900800
2023-10-11,27375.0,27459.5,26520.5,26860.5,26860.5,367673400
2023-10-12,26860.5,26929.0,26531.5,26742.0,26742.0,268257900
2023-10-13,26742.0,27115.0,26660.0,26848.5,26848.5,217868200
2023-10-14,26848.5,26976.0,26771.5,26844.0,26844.0,67816600
2023-10-15,26844.0,27286.0,26798.5,27140.5,27140.5,168061300
2023-10-16,27140.5,30538.5,27100.5,28497.0,28497.0,722665700
2023-10-17,28497.0,28619.5,28067.0,28403.0,28403.0,278777900
2023-10-18,28403.0,28996.5,28136.5,28316.0,28316.0,213205700
2023-10-19,28316.0,28916.0,28080.5,28715.0,28715.0,202909800
2023-10-20,28715.0,30257.5,28583.5,29668.5,29668.5,409707100
2023-10-21,29668.5,30380.0,29462.0,29908.0,29908.0,191987200
2023-10-22,29908.0,30275.0,29633.5,29983.0,29983.0,196805500
2023-10-23,29983.0,35850.5,29873.5,33122.0,33122.0,918928900
2023-10-24,33122.0,35321.0,32888.5,33939.5,33939.5,949867400
2023-10-25,33939.5,35184.0,33696.5,34527.0,34527.0,540834500
2023-10-26,34527.0,34877.0,33765.0,34159.5,34159.5,359742200
2023-10-27,34159.5,34267.5,33374.0,33923.0,33923.0,325785600
2023-10-28,33923.0,34616.5,33892.0,34109.5,34109.5,252361100
2023-10-29,34109.5,34794.0,33956.0,34545.0,34545.0,218699000
2023-10-30,34545.0,34910.0,34022.0,34505.0,34505.0,308412200
2023-10-31,34505.0,34783.0,34057.5,34682.0,34682.0,261815900
2023-11-01,34682.0,35756.5,33942.5,35472.0,35472.0,496713400
2023-11-02,35472.0,36077.0,34307.0,34963.5,34963.5,413290200
